filePath,totalValue,totalWeight,processingTime
04AlmostStronglyCorrelated\n00050\R10000\s063.kp,162699,127691,0.0
04AlmostStronglyCorrelated\n00050\R10000\s064.kp,149529,114385,0.3573188781738281
04AlmostStronglyCorrelated\n00050\R10000\s065.kp,161708,127579,0.0712895393371582
04AlmostStronglyCorrelated\n00050\R10000\s066.kp,160060,125063,0.0
04AlmostStronglyCorrelated\n00050\R10000\s067.kp,152734,116584,0.011484622955322266
04AlmostStronglyCorrelated\n00050\R10000\s068.kp,164691,130626,0.0
04AlmostStronglyCorrelated\n00050\R10000\s069.kp,149815,114752,0.0029916763305664062
04AlmostStronglyCorrelated\n00050\R10000\s070.kp,167878,133815,0.13437843322753906
04AlmostStronglyCorrelated\n00050\R10000\s071.kp,141340,104378,0.0
04AlmostStronglyCorrelated\n00050\R10000\s072.kp,156056,120965,0.005986452102661133
04AlmostStronglyCorrelated\n00050\R10000\s073.kp,153282,118244,0.010363101959228516
04AlmostStronglyCorrelated\n00050\R10000\s074.kp,166811,132733,0.23616909980773926
04AlmostStronglyCorrelated\n00050\R10000\s075.kp,152050,116847,0.012479305267333984
04AlmostStronglyCorrelated\n00050\R10000\s076.kp,166340,132385,0.002991199493408203
04AlmostStronglyCorrelated\n00050\R10000\s077.kp,157229,122151,0.008975028991699219
04AlmostStronglyCorrelated\n00050\R10000\s078.kp,155541,120536,0.1344914436340332
04AlmostStronglyCorrelated\n00050\R10000\s079.kp,145730,108703,0.0009968280792236328
04AlmostStronglyCorrelated\n00050\R10000\s080.kp,152242,116221,0.0009963512420654297
04AlmostStronglyCorrelated\n00050\R10000\s081.kp,158473,123434,0.0
04AlmostStronglyCorrelated\n00050\R10000\s082.kp,155571,119513,0.0010728836059570312
04AlmostStronglyCorrelated\n00050\R10000\s083.kp,156216,122215,0.3575100898742676
04AlmostStronglyCorrelated\n00050\R10000\s084.kp,151995,116926,0.0
04AlmostStronglyCorrelated\n00050\R10000\s085.kp,159955,125908,0.0025196075439453125
04AlmostStronglyCorrelated\n00050\R10000\s086.kp,159684,125547,0.03796982765197754
04AlmostStronglyCorrelated\n00050\R10000\s087.kp,161787,126865,0.0009987354278564453
04AlmostStronglyCorrelated\n00050\R10000\s088.kp,156214,120152,0.0009827613830566406
04AlmostStronglyCorrelated\n00050\R10000\s089.kp,166973,131954,0.0010004043579101562
04AlmostStronglyCorrelated\n00050\R10000\s090.kp,158337,123265,0.0
04AlmostStronglyCorrelated\n00050\R10000\s091.kp,168465,134364,0.006496429443359375
04AlmostStronglyCorrelated\n00050\R10000\s092.kp,171356,138206,0.08745288848876953
04AlmostStronglyCorrelated\n00050\R10000\s093.kp,159413,124405,0.06080007553100586
04AlmostStronglyCorrelated\n00050\R10000\s094.kp,154771,118760,0.0009963512420654297
04AlmostStronglyCorrelated\n00050\R10000\s095.kp,149449,114335,0.0020079612731933594
04AlmostStronglyCorrelated\n00050\R10000\s096.kp,163173,128259,0.0
04AlmostStronglyCorrelated\n00050\R10000\s097.kp,151198,115092,0.0
04AlmostStronglyCorrelated\n00050\R10000\s098.kp,160312,126220,0.3445286750793457
04AlmostStronglyCorrelated\n00050\R10000\s099.kp,162686,127769,0.0
04AlmostStronglyCorrelated\n00100\R01000\s000.kp,35611,29016,0.030197858810424805
04AlmostStronglyCorrelated\n00100\R01000\s001.kp,32284,25391,0.3011891841888428
04AlmostStronglyCorrelated\n00100\R01000\s002.kp,34177,27381,0.04654955863952637
04AlmostStronglyCorrelated\n00100\R01000\s003.kp,33719,26810,0.03621864318847656
04AlmostStronglyCorrelated\n00100\R01000\s004.kp,31001,23881,14.519839525222778
04AlmostStronglyCorrelated\n00100\R01000\s005.kp,31891,24641,0.0
04AlmostStronglyCorrelated\n00100\R01000\s006.kp,32293,25371,0.029839515686035156
04AlmostStronglyCorrelated\n00100\R01000\s007.kp,30388,23305,0.009449481964111328
04AlmostStronglyCorrelated\n00100\R01000\s008.kp,30022,22807,0.38253164291381836
04AlmostStronglyCorrelated\n00100\R01000\s009.kp,29516,22323,0.28477048873901367
04AlmostStronglyCorrelated\n00100\R01000\s010.kp,30890,23947,128.29162573814392
04AlmostStronglyCorrelated\n00100\R01000\s011.kp,30626,23412,0.014484882354736328
04AlmostStronglyCorrelated\n00100\R01000\s012.kp,29998,22786,0.10547041893005371
04AlmostStronglyCorrelated\n00100\R01000\s013.kp,31217,24322,52.619659185409546
04AlmostStronglyCorrelated\n00100\R01000\s014.kp,29596,22472,68.29372763633728
04AlmostStronglyCorrelated\n00100\R01000\s015.kp,32423,25316,0.0009965896606445312
04AlmostStronglyCorrelated\n00100\R01000\s016.kp,29661,22466,0.0
04AlmostStronglyCorrelated\n00100\R01000\s017.kp,33521,26615,1.8265790939331055
